YEAR,ØST,AKER,HED,OPPL,BUSK,VEST,TELM,AU_AG,VE_AG,ROGL,HORD,SOGN,MØRE,SØRT,NORT,NORD,TROM,FINN,OSLO,Unknown_hunting_county,Total,Agder,Innlandet,Troms_og_Finnmark,Trøndelag,Vestfold_og_Telemark,Vestland,Viken
1919,0,0,0,0,0,0,3,2,0,0,0,0,0,8,17,3,0,0,NA,NA,33,,,,,,,
1920,0,0,0,0,0,0,1,0,0,0,0,0,0,2,16,1,0,0,NA,NA,20,,,,,,,
1921,0,0,0,0,0,0,0,2,0,0,0,0,0,1,18,5,0,0,NA,NA,26,,,,,,,
1922,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,2,0,0,NA,NA,21,,,,,,,
1923,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,NA,NA,7,,,,,,,
1924,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,2,0,0,NA,NA,11,,,,,,,
1925,0,0,0,0,0,0,1,2,0,0,0,0,0,3,7,2,0,0,NA,NA,15,,,,,,,
1926,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,NA,NA,12,,,,,,,
1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,NA,NA,6,,,,,,,
1928,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,NA,NA,14,,,,,,,
1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,,,,,,,
1930,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,NA,NA,5,,,,,,,
1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,2,,,,,,,
1932,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2,,,,,,,
1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,,,,,,,
1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,1,,,,,,,
1938,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,NA,3,,,,,,,
1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,NA,NA,2,,,,,,,
1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1942,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,,,,,,,
1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,,,,,,,
1944,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,NA,NA,3,,,,,,,
1945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,NA,NA,5,,,,,,,
1946,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,NA,NA,5,,,,,,,
1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,2,,,,,,,
1948,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,NA,NA,8,,,,,,,
1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,NA,NA,8,,,,,,,
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,NA,NA,8,,,,,,,
1951,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,NA,NA,14,,,,,,,
1952,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,NA,NA,5,,,,,,,
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,NA,NA,2,,,,,,,
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,NA,NA,10,,,,,,,
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,2,,,,,,,
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,,,,,,,
1957,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,NA,NA,8,,,,,,,
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,NA,NA,8,,,,,,,
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,NA,NA,3,,,,,,,
1960,0,0,3,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,NA,NA,12,,,,,,,
1961,0,0,2,0,0,0,0,0,0,0,0,0,0,3,5,20,1,0,NA,NA,31,,,,,,,
1962,0,0,3,0,1,0,0,0,0,0,0,0,2,2,7,10,0,0,NA,NA,25,,,,,,,
1963,1,0,2,1,0,0,0,0,0,0,0,0,0,3,7,9,4,1,NA,NA,28,,,,,,,
1964,0,1,2,0,0,0,0,0,0,0,0,0,1,2,0,11,3,0,NA,NA,20,,,,,,,
1965,0,0,6,0,0,0,0,0,0,0,0,0,2,4,7,7,5,0,NA,NA,31,,,,,,,
1966,0,0,7,0,0,0,0,0,0,0,0,0,0,1,13,19,0,0,NA,NA,40,,,,,,,
1967,0,0,7,0,0,0,0,0,0,0,0,0,0,1,21,18,9,0,NA,NA,56,,,,,,,
1968,0,0,5,0,0,0,0,0,0,0,0,0,0,6,19,31,0,0,NA,NA,61,,,,,,,
1969,1,0,3,1,0,0,0,0,0,0,0,0,0,3,24,22,3,0,NA,NA,57,,,,,,,
1970,0,0,4,0,0,0,0,0,0,0,0,0,0,3,20,13,1,0,NA,NA,41,,,,,,,
1971,0,0,3,0,0,0,0,0,0,0,0,0,0,3,12,28,5,0,NA,NA,51,,,,,,,
1972,0,0,1,0,0,0,0,0,0,0,0,0,0,1,13,11,3,1,NA,NA,30,,,,,,,
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,18,4,0,NA,NA,35,,,,,,,
1974,0,0,2,3,0,0,0,0,0,0,0,0,0,1,13,9,2,0,NA,NA,30,,,,,,,
1975,0,0,5,1,0,0,0,0,0,0,0,0,0,5,11,11,0,0,NA,NA,33,,,,,,,
1976,0,0,6,0,0,0,0,0,0,0,0,0,0,5,11,6,2,0,NA,NA,30,,,,,,,
1977,0,0,5,0,0,0,0,0,0,0,0,0,0,6,8,6,0,0,0,NA,25,,,,,,,
1978,0,1,1,2,0,0,1,0,0,0,0,0,0,7,16,27,0,0,0,NA,55,,,,,,,
1979,1,0,10,4,0,0,0,0,0,0,0,1,0,8,14,15,5,0,0,NA,58,,,,,,,
1980,0,0,2,3,0,0,0,0,0,0,0,0,0,1,21,13,1,0,0,NA,41,,,,,,,
1980-81,0,0,1,1,2,0,1,0,0,0,0,0,0,6,17,14,0,0,0,NA,42,,,,,,,
1981-82,0,0,1,0,0,0,2,0,0,0,0,0,0,2,9,5,2,0,0,NA,21,,,,,,,
1982-83,0,0,1,0,0,0,2,0,0,0,0,0,0,1,4,12,2,0,0,NA,22,,,,,,,
1983-84,0,0,2,1,3,0,5,0,0,0,0,0,0,2,4,6,1,0,0,NA,24,,,,,,,
1984-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1985-86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1986-87,0,1,3,0,1,0,1,1,1,0,0,0,0,0,4,8,5,1,0,NA,26,,,,,,,
1987-88,0,0,4,4,0,0,1,3,1,0,0,0,0,2,9,8,13,0,0,0,45,,,,,,,
1988-89,1,0,7,1,2,0,2,0,0,0,0,0,0,0,3,13,3,1,0,0,33,,,,,,,
1989-90,0,1,2,3,4,0,2,0,0,0,0,0,0,1,3,5,6,1,0,0,28,,,,,,,
1990-91,0,1,6,0,3,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,28,,,,,,,
1991-92,0,0,5,0,0,0,1,0,0,0,0,1,0,1,5,7,7,0,0,0,27,,,,,,,
1992-93,0,0,1,0,1,0,0,0,0,0,0,1,0,1,6,14,8,2,0,0,34,,,,,,,
1993-94,0,0,7,0,0,0,4,0,0,0,0,0,0,1,8,12,15,1,0,0,48,,,,,,,
1994-95,0,0,8,4,1,0,5,2,0,0,0,0,0,3,12,16,13,0,0,0,64,,,,,,,
1995-96,0,1,19,4,4,0,9,3,2,1,0,0,0,5,29,16,7,3,0,0,103,,,,,,,
1996-97,0,0,17,6,5,1,12,5,0,0,0,0,0,6,40,16,5,0,0,0,113,,,,,,,
1997-98,0,0,17,11,5,0,23,3,3,2,0,0,0,9,23,19,10,2,0,0,127,,,,,,,
1998-99,4,8,19,14,8,0,12,4,4,0,0,0,0,0,15,12,1,4,0,0,105,,,,,,,
1999-2000,4,7,13,11,10,0,8,0,1,0,0,0,0,0,15,22,8,2,0,0,101,,,,,,,
2000-01,2,5,16,14,8,0,9,0,0,0,0,0,0,3,7,17,14,3,0,0,98,,,,,,,
2001-02,7,4,20,14,8,0,9,1,0,0,0,0,0,0,17,12,6,4,0,0,102,,,,,,,
2002-03,5,3,18,5,8,0,8,1,0,0,0,0,0,0,9,7,6,1,0,0,71,,,,,,,
2003-04,6,3,11,1,4,0,4,0,0,0,0,0,0,0,7,7,3,0,0,0,46,,,,,,,
2004-05,0,6,12,2,4,0,7,1,0,0,0,0,0,1,17,2,2,3,1,0,58,,,,,,,
2005-06,3,4,8,3,6,1,3,0,0,0,0,0,0,1,19,2,0,1,0,0,51,,,,,,,
2006-07,1,4,12,8,7,0,7,1,0,0,0,0,0,8,26,2,3,2,1,0,82,,,,,,,
2007-08,3,7,17,11,15,0,8,1,0,2,0,0,0,6,28,6,2,5,0,0,111,,,,,,,
2008-09,4,9,17,11,9,4,11,4,0,0,0,1,1,9,32,11,5,8,0,0,136,,,,,,,
2009-10,5,3,11,9,12,3,16,2,0,0,0,0,1,17,42,18,2,6,0,0,147,,,,,,,
2010-11,5,6,10,12,15,3,10,3,1,0,0,0,3,10,45,14,8,12,0,0,157,,,,,,,
2011-12,3,5,9,5,6,1,10,0,4,0,0,0,2,2,16,9,11,9,0,0,92,,,,,,,
2012-13,3,0,6,9,8,1,16,2,4,0,0,0,1,1,15,11,4,11,0,0,92,,,,,,,
2013-14,0,0,0,11,10,3,16,1,1,0,0,0,0,1,7,16,4,8,0,0,78,,,,,,,
2014-15,1,2,1,13,13,2,23,1,1,0,0,0,2,5,13,6,5,1,0,0,89,,,,,,,
2015-16,0,1,2,7,3,0,16,4,2,0,0,0,7,5,21,7,2,1,0,0,78,,,,,,,
2016-17,0,0,0,5,0,0,6,1,0,0,0,0,9,11,18,6,5,1,0,0,62,,,,,,,
2017-18,0,0,0,7,1,0,4,0,1,0,1,0,10,4,22,2,2,1,0,0,55,,,,,,,
2018-19,0,0,2,6,9,1,9,6,0,0,0,0,3,NA,NA,6,0,0,0,0,64,,,,22,,,
2019-20,0,0,5,8,7,2,9,3,0,0,0,0,3,NA,NA,2,4,2,0,0,70,,,,25,,,
2020-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,NA,NA,10,NA,NA,0,0,87,5,11,8,26,16,0,8
