YEAR,ØST,AKER,HED,OPPL,BUSK,VEST,TELM,AU_AG,VE_AG,ROGL,HORD,SOGN,MØRE,SØRT,NORT,NORD,TROM,FINN,OSLO,Unknown_hunting_county,Total,Agder,Innlandet,Troms_og_Finnmark,Trøndelag,Vestfold_og_Telemark,Vestland,Viken
1846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1870,NA,NA,NA,NA,NA,NA,NA,NA,60,93,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,,,,,,,
1871,NA,NA,NA,NA,NA,NA,NA,NA,34,92,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,,,,,,,
1872,NA,NA,NA,NA,NA,NA,NA,NA,48,52,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,248,,,,,,,
1873,NA,NA,NA,NA,NA,NA,NA,NA,65,103,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,,,,,,,
1874,NA,NA,NA,NA,NA,NA,NA,NA,41,71,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,,,,,,,
1875,NA,NA,NA,NA,NA,NA,NA,NA,64,66,115,41,NA,NA,NA,NA,NA,NA,NA,NA,286,,,,,,,
1876,NA,NA,NA,NA,NA,NA,NA,NA,73,124,199,62,NA,NA,NA,NA,NA,NA,NA,NA,458,,,,,,,
1877,NA,NA,NA,NA,NA,NA,NA,NA,46,125,180,163,NA,9,NA,NA,NA,NA,NA,NA,523,,,,,,,
1878,NA,NA,NA,NA,NA,NA,NA,NA,61,99,170,250,NA,35,NA,NA,NA,NA,NA,NA,615,,,,,,,
1879,116,66,48,80,22,89,54,41,51,164,267,189,65,115,48,104,21,27,NA,NA,1567,,,,,,,
1880,268,307,616,1089,412,177,307,186,169,361,643,610,319,802,594,1166,492,2066,NA,NA,10584,,,,,,,
1881,274,272,1193,1330,506,165,473,209,198,185,497,759,465,1145,920,1409,848,2535,NA,NA,13383,,,,,,,
1882,225,229,609,540,302,135,166,115,92,143,260,315,201,633,236,568,489,2675,NA,NA,7933,,,,,,,
1883,254,388,622,434,480,142,197,171,107,105,443,364,205,315,161,506,168,447,NA,NA,5509,,,,,,,
1884,292,254,778,561,486,158,176,64,131,230,612,405,306,1018,283,738,311,1048,NA,NA,7851,,,,,,,
1885,296,357,1239,893,543,190,354,245,233,157,255,882,652,1076,926,1375,824,1221,NA,NA,11718,,,,,,,
1886,277,290,649,560,237,136,201,129,141,120,350,411,398,306,200,530,330,353,NA,NA,5618,,,,,,,
1887,259,241,641,518,426,197,229,169,125,179,579,457,305,435,215,602,320,615,NA,NA,6512,,,,,,,
1888,237,466,921,700,461,129,299,197,105,190,653,790,405,655,349,1026,511,1022,NA,NA,9116,,,,,,,
1889,236,329,791,899,453,113,316,121,98,201,311,637,373,331,275,1312,744,989,NA,NA,8529,,,,,,,
1890,291,250,412,489,291,173,249,164,116,169,464,516,327,296,212,682,369,546,NA,NA,6016,,,,,,,
1891,337,380,996,808,411,255,444,231,166,200,513,587,405,668,253,824,461,522,NA,NA,8461,,,,,,,
1892,406,345,886,853,531,256,404,372,157,189,404,764,816,1070,627,1034,783,861,NA,NA,10758,,,,,,,
1893,252,392,1222,1261,565,271,324,237,172,218,430,888,604,757,627,940,661,1579,NA,NA,11400,,,,,,,
1894,332,391,725,628,471,323,413,250,220,214,640,705,385,481,341,703,422,1002,NA,NA,8646,,,,,,,
1895,410,416,1158,911,668,277,420,346,258,406,1002,884,437,704,330,741,498,496,NA,NA,10362,,,,,,,
1896,420,450,1001,1502,745,364,560,238,206,307,564,1275,819,1061,604,1122,1282,1085,NA,NA,13605,,,,,,,
1897,328,400,1729,1192,515,258,346,165,152,203,460,1026,691,743,653,1242,1451,2088,NA,NA,13642,,,,,,,
1898,275,357,736,859,599,288,377,213,166,178,706,985,554,406,272,609,471,1112,NA,NA,9163,,,,,,,
1899,367,507,941,854,697,487,320,328,183,190,562,884,593,682,335,791,568,917,NA,NA,10206,,,,,,,
1900,382,501,1235,1076,722,302,313,339,227,190,403,750,649,718,537,843,433,692,NA,NA,10312,,,,,,,
1901,380,420,1172,1010,527,362,580,261,173,196,492,760,487,631,446,706,347,922,NA,NA,9872,,,,,,,
1902,389,504,759,776,719,404,335,384,205,278,628,944,591,459,341,432,347,454,NA,NA,8949,,,,,,,
1903,358,499,802,886,513,362,304,299,188,162,543,633,459,727,411,511,459,629,NA,NA,8745,,,,,,,
1904,385,542,1090,760,599,347,365,289,185,148,518,718,682,1142,667,1559,1114,2393,NA,NA,13503,,,,,,,
1905,366,467,1061,648,552,252,405,256,140,96,493,706,726,930,713,1302,1024,1377,NA,NA,11514,,,,,,,
1906,368,735,702,565,699,261,392,406,212,138,595,733,478,561,344,396,228,487,NA,NA,8300,,,,,,,
1907,394,543,908,877,951,429,450,336,263,124,511,672,538,1089,495,620,218,1169,NA,NA,10587,,,,,,,
1908,417,676,1267,1006,789,161,448,354,213,190,337,644,732,1380,1688,1924,590,2465,NA,NA,15281,,,,,,,
1909,424,577,1032,1043,945,341,435,439,279,184,688,779,601,769,763,817,305,1522,NA,NA,11943,,,,,,,
1910,305,445,1393,1019,1057,263,1073,401,324,184,755,718,620,1225,563,416,179,43,NA,NA,10983,,,,,,,
1911,375,441,1464,1437,1162,309,503,620,349,114,608,782,576,1445,623,806,227,81,NA,NA,11922,,,,,,,
1912,311,150,847,828,1134,321,489,586,356,123,527,499,447,232,1253,1553,593,76,NA,NA,10325,,,,,,,
1913,335,514,737,863,985,261,755,416,353,141,480,612,491,484,342,407,331,59,NA,NA,8566,,,,,,,
1914,421,672,946,1199,1062,380,451,556,334,172,577,712,551,647,426,402,96,32,NA,NA,9636,,,,,,,
1915,408,514,1268,1024,897,317,841,554,404,198,736,778,621,878,541,872,88,58,NA,NA,10997,,,,,,,
1916,330,579,1739,1611,1302,338,990,338,343,371,700,717,674,726,655,1018,176,54,NA,NA,12661,,,,,,,
1917,414,680,1571,1263,1006,328,597,403,279,371,579,652,690,532,624,673,108,55,NA,NA,10825,,,,,,,
1918,411,416,1042,837,659,331,833,536,359,330,410,512,713,503,280,271,31,29,NA,NA,8503,,,,,,,
1919,468,599,1333,1014,1401,310,753,791,493,324,588,717,507,375,425,353,105,14,NA,NA,10570,,,,,,,
1920,347,511,1260,659,428,228,423,386,364,284,491,638,415,707,411,715,104,40,NA,NA,8411,,,,,,,
1921,477,563,760,1041,879,322,672,571,368,337,576,572,556,543,481,936,210,48,NA,NA,9912,,,,,,,
1922,393,631,1262,992,774,207,676,441,408,263,604,678,534,606,354,338,236,39,NA,NA,9436,,,,,,,
1923,384,572,858,1066,679,241,699,416,545,285,436,618,386,399,305,301,158,37,NA,NA,8385,,,,,,,
1924,302,584,754,1014,601,201,590,544,309,192,376,652,387,560,513,601,90,1,NA,NA,8271,,,,,,,
1925,416,668,754,618,656,186,559,502,441,213,312,591,327,607,589,716,89,15,NA,NA,8259,,,,,,,
1926,434,655,535,563,563,258,469,486,387,225,397,593,364,299,355,240,114,18,NA,NA,6955,,,,,,,
1927,358,708,598,441,883,192,746,382,419,198,465,824,545,762,754,712,171,19,NA,NA,9177,,,,,,,
1928,219,491,1258,1125,679,117,504,245,297,177,232,578,379,700,580,596,93,9,NA,NA,8279,,,,,,,
1929,270,539,356,307,402,115,451,236,326,272,357,585,313,273,277,225,53,8,NA,NA,5365,,,,,,,
1930,266,348,368,263,383,94,533,335,400,371,279,706,330,485,439,386,58,2,NA,NA,6046,,,,,,,
1931,258,436,864,877,116,180,845,480,343,262,753,961,537,674,865,530,155,38,NA,NA,9174,,,,,,,
1932,134,303,762,492,74,115,365,169,292,263,422,759,257,462,559,503,117,5,NA,NA,6053,,,,,,,
1933,0,0,102,0,0,0,0,0,0,426,245,52,0,0,0,0,0,4,NA,NA,829,,,,,,,
1934,9,0,102,0,2,0,0,0,0,418,356,444,0,0,0,0,0,4,NA,NA,1335,,,,,,,
1935,54,1,102,6,10,0,0,0,0,281,321,501,0,0,0,0,0,3,NA,NA,1279,,,,,,,
1936,42,619,102,1,11,41,0,0,0,371,280,421,0,0,0,170,0,3,NA,NA,2061,,,,,,,
1937,141,957,102,2,12,47,91,0,0,309,272,520,11,0,3,169,0,3,NA,NA,2639,,,,,,,
1938,441,1363,102,4,108,142,550,0,0,415,472,580,123,0,98,169,0,3,NA,NA,4570,,,,,,,
1939,912,1172,102,12,185,455,567,136,0,235,377,531,122,9,22,169,0,3,NA,NA,5009,,,,,,,
