YEAR,ØST,AKER,HED,OPPL,BUSK,VEST,TELM,AU_AG,VE_AG,ROGL,HORD,SOGN,MØRE,SØRT,NORT,NORD,TROM,FINN,OSLO,Unknown_hunting_county,Total,Agder,Innlandet,Troms_og_Finnmark,Trøndelag,Vestfold_og_Telemark,Vestland,Viken
1940,726,96,102,115,21,43,588,21,390,217,391,500,169,0,1,13,0,3,NA,NA,3396,,,,,,,
1941,637,80,207,110,9,0,0,236,358,314,229,554,129,0,13,0,0,0,NA,NA,2876,,,,,,,
1942,462,62,20,9,6,0,228,92,307,295,566,371,183,0,47,0,0,0,NA,NA,2648,,,,,,,
1943,528,25,26,4,0,0,50,98,403,348,601,455,321,0,26,0,0,0,NA,NA,2885,,,,,,,
1944,602,12,0,2,0,0,52,173,387,391,645,344,246,0,35,0,0,0,NA,NA,2889,,,,,,,
1945,930,44,30,14,5,0,120,201,547,565,1029,520,238,1,25,0,0,0,NA,NA,4269,,,,,,,
1946,1010,299,361,70,8,51,794,167,821,734,1058,919,581,6,22,0,0,0,NA,NA,6901,,,,,,,
1947,806,1282,730,145,673,137,789,460,767,457,699,898,601,26,197,0,0,0,NA,NA,8667,,,,,,,
1948,880,2278,1299,1301,2587,405,1608,748,803,615,1218,1188,881,1534,1120,38,239,364,NA,NA,19106,,,,,,,
1949,1590,1908,2479,3443,1935,641,2290,960,588,528,1539,1352,1128,1925,2204,696,1254,1980,NA,NA,28440,,,,,,,
1950,1636,1828,4183,2854,1844,595,1676,760,597,286,915,1059,1083,3491,2586,1089,1102,1182,NA,NA,28766,,,,,,,
1951,1296,1582,2283,2469,2316,663,1805,796,530,208,904,1027,979,1981,1872,1807,1915,2115,NA,NA,26548,,,,,,,
1952,1211,1582,2079,1895,2127,593,1669,824,696,288,926,1045,913,1599,1124,1880,1425,1718,NA,NA,23594,,,,,,,
1953,1228,1378,2610,1835,955,299,1529,796,438,334,986,957,855,1835,1415,1662,327,926,NA,NA,20365,,,,,,,
1954,1236,1574,3256,2630,904,429,1888,1259,467,282,600,849,1223,2100,1228,1527,987,1000,NA,NA,23439,,,,,,,
1955,1406,1709,2898,3052,1771,667,2044,1271,606,454,712,994,1607,1259,1920,2076,1056,2123,NA,NA,27625,,,,,,,
1956,1145,1495,2724,1849,1523,648,2040,1374,930,497,803,1113,1073,1388,2024,1842,1626,2083,NA,NA,26177,,,,,,,
1957,1267,1806,3028,2551,1465,740,1794,1091,674,418,916,953,1150,1731,2115,1748,985,754,NA,NA,25186,,,,,,,
1958,1373,2420,2941,3103,1492,546,2132,1211,683,289,618,1013,1289,1703,1883,1932,964,635,NA,NA,26227,,,,,,,
1959,1303,2054,3408,3314,1537,671,2107,1070,898,240,712,989,1259,1699,1831,2300,1523,1369,NA,NA,28284,,,,,,,
1960,1474,1460,3300,2782,1635,558,2052,1351,969,715,1556,1464,1271,1987,1827,2124,1687,1516,NA,NA,29728,,,,,,,
1961,1509,1909,2510,2572,1618,606,1549,495,820,427,930,1012,1089,1588,1573,3133,1561,1781,NA,NA,26682,,,,,,,
1962,1505,2299,3596,3419,1821,547,1950,1553,1035,351,1037,1300,1138,1914,1902,2933,1167,2365,NA,NA,31832,,,,,,,
1963,1587,2273,4235,4109,2442,577,2246,1758,1062,447,1319,1446,1293,2287,1710,2452,1094,2034,NA,NA,34371,,,,,,,
1964,1308,1722,2145,2755,1651,532,1635,840,782,477,1486,1323,1615,2720,2939,4026,1746,152,NA,NA,29854,,,,,,,
1965,1387,2288,2428,2653,1694,593,1737,823,1058,474,913,1112,1155,1562,1708,3438,1898,66,NA,NA,26987,,,,,,,
1966,1626,2584,2704,3620,1887,579,1904,1245,1265,506,1176,1327,1461,2087,1915,1678,1036,121,NA,NA,28721,,,,,,,
1967,1260,1748,3296,3986,1835,461,2232,654,1117,717,1323,1627,2441,4800,3243,2482,1480,32,NA,NA,34734,,,,,,,
1968,1384,1710,2625,3008,1507,299,272,625,900,490,776,1081,2084,946,1919,1730,1845,67,NA,NA,23268,,,,,,,
1969,1495,302,2321,1683,1430,483,492,867,1213,535,924,1473,1364,403,1444,1374,50,96,NA,NA,17949,,,,,,,
1970,1393,326,2318,2279,1579,337,652,1136,1583,772,1580,2184,2223,819,2146,1552,132,24,NA,NA,23035,,,,,,,
1971,1459,456,1720,2451,1570,231,977,607,1116,878,1751,1627,2130,1094,2104,1800,344,0,NA,NA,22315,,,,,,,
1972,1490,585,1286,1539,1053,128,836,602,1079,527,1012,1294,1535,897,1127,1229,106,0,NA,NA,16325,,,,,,,
1973,1533,743,1166,1454,1138,126,746,572,1465,708,1356,1996,1792,963,1346,1195,34,0,NA,NA,18333,,,,,,,
1974,576,360,1439,1339,1431,43,547,633,1366,836,1894,2041,1699,688,1338,776,95,0,NA,NA,17101,,,,,,,
1975,453,57,594,1032,1002,0,53,402,1168,855,2093,1981,1274,516,757,936,66,0,NA,NA,13239,,,,,,,
1976,534,59,302,421,539,0,44,268,976,750,1411,1661,1302,400,602,813,103,0,NA,NA,10185,,,,,,,
1977,491,41,293,406,363,0,73,285,1431,980,1722,1786,1513,391,503,533,53,0,0,NA,10864,,,,,,,
1977-78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43400,,,,,,,
1978-79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51700,,,,,,,
1979-80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40700,,,,,,,
1980-81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,,,,,,,
1981-82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38400,,,,,,,
1982-83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26600,,,,,,,
1983-84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29500,,,,,,,
1984-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30300,,,,,,,
1985-86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30100,,,,,,,
1986-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24700,,,,,,,
1987-88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17900,,,,,,,
1988-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19400,,,,,,,
1989-90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18300,,,,,,,
1990-91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12700,,,,,,,
1991-92,1520,810,2220,1750,840,70,370,440,1980,300,2920,440,940,540,1050,1150,880,370,70,NA,18660,,,,,,,
1992-93,720,510,2010,1430,680,100,NA,170,820,790,1200,550,1160,850,960,1160,240,550,70,NA,13970,,,,,,,
1993-94,1120,1220,1900,1240,450,170,410,260,730,440,920,670,630,710,1230,900,780,340,NA,80,14200,,,,,,,
1994-95,1810,1350,2030,1140,670,310,540,650,670,250,390,450,460,830,920,890,490,670,60,NA,14580,,,,,,,
1995-96,1260,1570,1460,1730,450,440,570,210,1010,290,630,1120,640,960,1590,510,410,150,50,0,15050,,,,,,,
1996-97,1350,1040,2110,1320,810,230,300,260,820,1070,830,390,600,780,1110,1300,500,770,NA,NA,15590,,,,,,,
1997-98,1420,1410,2640,1930,590,490,380,560,790,490,1090,400,280,740,1590,510,910,110,NA,240,16570,,,,,,,
1998-99,1590,1280,1990,1470,740,290,620,590,550,600,620,620,670,1070,2250,690,400,270,NA,80,16390,,,,,,,
1999-2000,1270,1750,2330,1620,960,440,510,490,630,840,750,850,710,950,1960,930,450,370,70,NA,17880,,,,,,,
2000-01,1290,1560,2220,1340,820,560,460,410,830,710,670,590,720,1130,1920,850,460,180,50,60,16830,,,,,,,
2001-02,1150,1250,2010,1860,820,520,630,360,650,700,680,500,800,1180,1370,840,550,250,40,NA,16160,,,,,,,
2002-03,1490,1320,2460,2000,900,620,820,420,820,670,710,510,800,1290,1990,1140,810,540,30,NA,19340,,,,,,,
2003-04,1370,1300,2470,1920,920,470,670,410,750,700,590,540,900,1320,1660,1140,690,440,NA,NA,18260,,,,,,,
2004-05,1300,1120,2680,2140,910,440,680,500,730,690,600,570,950,1770,1970,1360,750,400,30,NA,19590,,,,,,,
2005-06,1280,1190,2340,2060,1010,550,840,560,770,650,620,690,1050,1880,2280,1890,850,530,NA,50,21090,,,,,,,
2006-07,1390,1210,2160,1980,940,530,670,400,540,640,530,580,1000,1380,1630,1370,730,480,NA,NA,18160,,,,,,,
2007-08,1270,1040,2750,2150,880,520,670,370,660,590,580,780,1070,1580,1700,1450,930,580,NA,NA,19570,,,,,,,
2008-09,1330,1130,2660,1790,1060,590,750,370,530,630,640,770,1030,1650,1720,1820,990,580,30,NA,20070,,,,,,,
2009-10,1340,1000,2350,1840,1130,540,750,380,560,630,590,720,1090,1310,1690,1640,810,400,30,NA,18800,,,,,,,
2010-11,1680,1190,2920,2160,1210,610,930,540,810,840,700,950,1440,1700,2440,1890,1110,720,40,NA,23880,,,,,,,
2011-12,1470,1280,4170,2560,1170,610,920,620,850,960,840,1010,1490,2370,2900,2340,1360,770,40,NA,27730,,,,,,,
2012-13,1620,1250,3010,2310,1220,610,810,500,690,770,780,900,1160,1620,2290,1890,1230,1000,30,NA,23690,,,,,,,
2013-14,1310,1150,3130,2340,1060,420,700,470,630,710,850,850,1020,1500,1990,1650,1020,590,40,NA,21430,,,,,,,
2014-15,1340,1190,3250,2510,1150,530,760,550,870,890,950,930,1070,1590,1770,1620,900,550,30,0,22450,,,,,,,
2015-16,1340,1070,2600,1770,1070,500,610,440,540,930,930,850,1000,1570,1900,2040,1250,800,80,NA,21290,,,,,,,
2016-17,1360,1070,2490,2070,1170,630,790,450,680,840,880,790,980,1310,1530,1620,1380,940,50,0,21030,,,,,,,
2017-18,1400,1090,2440,2180,1170,550,780,470,650,1120,1000,930,1200,1480,1740,1520,970,600,40,NA,21330,,,,,,,
2018-19,1330,1300,3050,2710,1480,680,1010,500,920,1580,1290,1000,1060,NA,NA,1840,1020,650,60,NA,25080,,,,3600,,,
2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350,NA,NA,970,NA,NA,1810,NA,NA,30,20,23620,1420,4870,2560,3020,1780,1780,4010
2020-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280,NA,NA,1040,NA,NA,1340,NA,NA,60,NA,21720,1620,4230,1310,2720,1600,2090,4430
