YEAR,ØST,AKER,HED,OPPL,BUSK,VEST,TELM,AU_AG,VE_AG,ROGL,HORD,SOGN,MØRE,SØRT,NORT,NORD,TROM,FINN,OSLO,Unknown_hunting_county,Total,Agder,Innlandet,Troms_og_Finnmark,Trøndelag,Vestfold_og_Telemark,Vestland,Viken
1846,0,0,5,11,1,0,1,0,0,2,6,2,2,1,1,0,49,NA,NA,NA,81,,,,,,,
1847,0,0,7,6,3,0,0,0,0,1,3,4,0,0,6,2,56,NA,NA,NA,88,,,,,,,
1848,0,0,8,15,1,0,0,0,0,2,1,2,0,1,3,0,18,NA,NA,NA,51,,,,,,,
1849,0,0,14,5,4,1,0,1,0,3,1,1,1,6,5,4,30,NA,NA,NA,76,,,,,,,
1850,0,0,5,2,1,1,1,0,0,0,0,0,1,0,1,0,27,NA,NA,NA,39,,,,,,,
1851,0,0,2,6,0,0,0,0,1,1,2,0,0,1,2,0,35,NA,NA,NA,50,,,,,,,
1852,0,0,5,7,3,0,0,0,0,3,2,0,0,5,3,2,15,NA,NA,NA,45,,,,,,,
1853,0,0,2,9,2,0,2,3,0,5,7,0,1,2,5,1,12,NA,NA,NA,51,,,,,,,
1854,0,0,1,6,0,0,2,0,0,1,2,0,0,0,3,1,19,NA,NA,NA,35,,,,,,,
1855,0,0,7,6,0,0,0,1,0,4,2,1,1,1,3,2,44,NA,NA,NA,72,,,,,,,
1856,0,0,9,2,2,0,0,0,0,1,6,0,0,0,5,0,19,NA,NA,NA,44,,,,,,,
1857,0,0,3,3,1,0,0,0,1,1,2,0,0,0,2,3,7,NA,NA,NA,23,,,,,,,
1858,0,0,2,3,0,0,0,0,0,2,5,0,0,1,3,1,25,NA,NA,NA,42,,,,,,,
1859,0,0,2,11,1,0,2,0,0,0,1,2,0,0,5,2,37,NA,NA,NA,63,,,,,,,
1860,0,0,1,8,0,0,2,0,0,3,3,1,0,1,8,1,16,NA,NA,NA,44,,,,,,,
1861,0,0,0,1,0,0,2,1,0,1,1,1,0,0,6,6,14,NA,NA,NA,33,,,,,,,
1862,0,0,4,4,1,0,2,0,0,0,5,5,0,0,4,2,12,NA,NA,NA,39,,,,,,,
1863,0,0,0,2,0,0,0,0,1,1,4,0,1,1,10,4,12,NA,NA,NA,36,,,,,,,
1864,0,0,1,6,1,0,2,0,1,2,8,2,0,0,13,2,52,NA,NA,NA,90,,,,,,,
1865,0,0,5,3,1,0,0,0,0,0,0,0,1,1,5,6,22,NA,NA,NA,44,,,,,,,
1866,0,0,2,2,3,0,1,1,1,1,2,2,0,0,13,4,3,28,NA,NA,63,,,,,,,
1867,0,0,2,7,2,0,1,0,1,1,2,2,0,0,12,4,3,17,NA,NA,54,,,,,,,
1868,0,0,2,2,2,0,1,0,0,1,2,2,0,0,12,3,2,17,NA,NA,46,,,,,,,
1869,0,0,2,9,2,0,1,0,0,0,1,2,0,0,12,3,6,24,NA,NA,62,,,,,,,
1870,0,0,1,8,2,0,0,0,0,0,1,2,0,0,12,3,4,16,NA,NA,49,,,,,,,
1871,0,0,2,7,8,0,0,0,0,0,2,1,0,1,5,4,16,36,NA,NA,82,,,,,,,
1872,0,0,1,0,0,0,1,0,0,2,1,0,0,0,4,1,8,25,NA,NA,43,,,,,,,
1873,0,0,4,1,0,0,0,1,0,0,1,0,0,0,5,5,3,29,NA,NA,49,,,,,,,
1874,0,0,0,1,0,0,0,0,0,1,0,2,3,1,2,2,11,50,NA,NA,73,,,,,,,
1875,0,0,0,3,0,0,0,0,0,1,2,0,1,0,8,4,14,35,NA,NA,68,,,,,,,
1876,0,0,2,2,1,0,0,0,0,1,1,1,1,0,2,4,14,22,NA,NA,51,,,,,,,
1877,0,0,0,1,1,0,1,0,0,2,4,4,0,1,6,4,12,80,NA,NA,116,,,,,,,
1878,0,0,4,9,1,0,1,0,0,0,1,0,0,0,12,3,6,110,NA,NA,147,,,,,,,
1879,0,1,5,3,0,0,0,0,0,3,2,0,3,1,11,0,3,61,NA,NA,93,,,,,,,
1880,0,0,1,4,1,0,1,0,0,0,2,2,4,1,4,2,6,17,NA,NA,45,,,,,,,
1881,0,1,0,12,2,0,1,0,0,1,6,3,1,0,2,9,4,21,NA,NA,63,,,,,,,
1882,0,0,1,0,0,0,2,0,0,0,1,0,1,0,1,9,11,49,NA,NA,75,,,,,,,
1883,0,0,0,12,0,0,0,0,0,0,0,1,0,3,1,0,5,17,NA,NA,39,,,,,,,
1884,0,0,0,4,1,0,0,0,0,2,3,0,0,8,4,6,4,17,NA,NA,49,,,,,,,
1885,0,0,1,4,3,0,2,0,0,1,2,2,0,8,2,6,8,53,NA,NA,92,,,,,,,
1886,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,4,7,23,NA,NA,40,,,,,,,
1887,0,0,0,1,0,0,0,0,0,1,3,4,0,0,5,2,8,27,NA,NA,51,,,,,,,
1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,14,20,NA,NA,54,,,,,,,
1889,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4,1,12,5,NA,NA,25,,,,,,,
1890,0,0,1,1,0,0,0,0,0,0,0,2,1,0,3,9,7,23,NA,NA,47,,,,,,,
1891,0,0,12,5,0,0,0,0,0,1,0,0,1,1,0,6,1,15,NA,NA,42,,,,,,,
1892,0,0,1,1,0,0,0,1,0,1,2,2,0,2,9,1,7,10,NA,NA,37,,,,,,,
1893,0,0,0,2,0,0,1,1,0,3,2,0,0,6,3,2,6,14,NA,NA,40,,,,,,,
1894,0,0,1,0,0,0,0,0,0,3,1,4,14,2,4,6,1,10,NA,NA,46,,,,,,,
1895,0,0,0,3,0,0,0,1,0,0,4,0,0,1,14,9,9,9,NA,NA,50,,,,,,,
1896,0,0,0,1,0,0,1,0,0,4,4,1,0,2,21,7,8,15,NA,NA,64,,,,,,,
1897,0,0,2,1,0,0,0,0,0,0,2,0,1,0,4,3,10,25,NA,NA,48,,,,,,,
1898,0,0,0,0,0,0,0,0,0,1,0,3,0,1,6,16,12,18,NA,NA,57,,,,,,,
1899,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5,4,8,20,NA,NA,40,,,,,,,
1900,0,0,0,3,0,0,0,0,0,6,1,0,0,0,6,6,8,8,NA,NA,38,,,,,,,
1901,0,0,0,0,0,0,2,0,0,0,1,2,0,0,4,1,10,8,NA,NA,28,,,,,,,
1902,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,3,6,10,NA,NA,25,,,,,,,
1903,0,0,0,0,0,0,1,0,0,0,4,2,0,2,2,2,10,8,NA,NA,31,,,,,,,
1904,0,0,1,2,0,0,0,0,0,0,0,0,1,0,2,6,20,14,NA,NA,46,,,,,,,
1905,0,0,2,2,0,0,0,0,0,2,0,1,3,0,8,4,31,32,NA,NA,85,,,,,,,
1906,0,0,1,0,2,0,1,0,0,1,0,0,0,0,1,4,5,13,NA,NA,28,,,,,,,
1907,0,0,0,1,0,0,0,0,0,2,2,1,0,0,3,4,3,20,NA,NA,36,,,,,,,
