YEAR,ØST,AKER,HED,OPPL,BUSK,VEST,TELM,AU_AG,VE_AG,ROGL,HORD,SOGN,MØRE,SØRT,NORT,NORD,TROM,FINN,OSLO,Unknown_hunting_county,Total,Agder,Innlandet,Troms_og_Finnmark,Trøndelag,Vestfold_og_Telemark,Vestland,Viken
1846,2,1,15,7,14,4,45,13,4,2,1,6,29,7,30,23,16,NA,NA,NA,219,,,,,,,
1847,0,2,10,12,16,1,38,17,4,3,1,14,28,16,36,57,15,NA,NA,NA,270,,,,,,,
1848,0,1,10,5,16,3,32,25,2,0,2,25,29,16,42,37,19,NA,NA,NA,264,,,,,,,
1849,1,2,22,6,23,8,44,32,6,4,4,25,30,17,28,45,28,NA,NA,NA,325,,,,,,,
1850,2,0,15,5,12,6,32,20,3,1,3,13,25,10,35,23,41,NA,NA,NA,246,,,,,,,
1851,0,1,19,18,9,5,37,30,3,2,1,19,22,14,34,40,22,NA,NA,NA,276,,,,,,,
1852,0,1,10,3,13,2,19,31,2,4,4,16,14,5,32,23,23,NA,NA,NA,202,,,,,,,
1853,0,0,5,3,3,2,15,11,3,3,2,8,3,11,32,23,18,NA,NA,NA,142,,,,,,,
1854,0,1,10,9,17,3,41,19,1,1,3,4,6,6,26,31,20,NA,NA,NA,198,,,,,,,
1855,0,1,15,8,0,0,32,22,1,2,1,7,12,11,27,35,24,NA,NA,NA,198,,,,,,,
1856,0,1,12,23,19,0,30,13,1,2,0,8,13,15,30,41,26,NA,NA,NA,234,,,,,,,
1857,1,0,8,9,15,5,39,36,1,3,1,15,12,6,20,57,31,NA,NA,NA,259,,,,,,,
1858,1,1,9,7,15,2,43,18,0,0,1,13,10,5,37,34,19,NA,NA,NA,215,,,,,,,
1859,1,0,7,5,11,0,23,23,1,1,1,17,14,9,22,16,18,NA,NA,NA,169,,,,,,,
1860,0,0,16,9,23,0,36,21,1,1,4,27,12,13,26,29,19,NA,NA,NA,237,,,,,,,
1861,0,0,8,4,14,0,12,12,0,7,3,15,16,8,49,25,3,NA,NA,NA,176,,,,,,,
1862,0,0,8,5,13,2,14,21,2,1,1,11,25,8,12,20,15,NA,NA,NA,158,,,,,,,
1863,0,0,9,14,13,1,24,23,1,0,3,20,27,15,37,41,7,NA,NA,NA,235,,,,,,,
1864,0,1,10,13,22,0,32,12,0,4,0,10,25,6,32,35,15,NA,NA,NA,217,,,,,,,
1865,0,0,14,5,20,0,20,17,3,1,3,19,17,8,39,24,5,NA,NA,NA,195,,,,,,,
1866,0,1,8,6,14,1,14,14,1,3,2,9,13,9,22,17,9,3,NA,NA,146,,,,,,,
1867,0,0,7,8,14,1,14,14,1,2,2,9,13,9,22,17,15,4,NA,NA,152,,,,,,,
1868,0,0,7,7,14,0,14,14,1,2,2,8,13,9,21,16,12,3,NA,NA,143,,,,,,,
1869,0,0,7,5,14,0,13,14,1,2,2,8,13,9,21,16,10,6,NA,NA,141,,,,,,,
1870,0,0,7,2,14,0,13,14,1,2,1,8,13,8,21,16,5,6,NA,NA,131,,,,,,,
1871,0,0,4,1,10,0,21,15,2,2,2,6,18,5,19,9,12,7,NA,NA,133,,,,,,,
1872,0,0,2,2,7,0,14,10,1,0,0,4,10,8,11,8,5,2,NA,NA,84,,,,,,,
1873,0,0,6,3,10,0,9,5,3,0,1,7,8,4,6,13,6,2,NA,NA,83,,,,,,,
1874,0,0,5,3,11,0,3,12,2,1,0,14,11,2,7,17,11,2,NA,NA,101,,,,,,,
1875,0,0,5,7,24,0,11,9,0,0,0,8,4,8,8,10,5,0,NA,NA,99,,,,,,,
1876,0,0,4,7,33,0,27,25,2,0,0,8,16,5,13,14,4,1,NA,NA,159,,,,,,,
1877,0,0,8,6,37,2,29,20,1,1,1,7,11,12,15,19,6,1,NA,NA,176,,,,,,,
1878,0,0,7,2,19,7,16,14,0,0,0,4,7,2,15,20,17,4,NA,NA,134,,,,,,,
1879,0,0,3,8,7,1,18,14,3,1,0,9,9,2,26,13,3,1,NA,NA,118,,,,,,,
1880,0,1,5,1,10,3,18,10,4,1,0,6,15,6,35,25,12,0,NA,NA,152,,,,,,,
1881,0,0,1,1,7,1,13,5,1,0,1,4,6,3,18,20,2,2,NA,NA,85,,,,,,,
1882,0,0,1,1,9,0,19,5,5,0,0,17,8,1,14,11,9,1,NA,NA,101,,,,,,,
1883,0,0,5,3,11,0,17,3,0,2,0,7,7,4,21,4,1,0,NA,NA,85,,,,,,,
1884,0,0,2,1,9,1,14,8,0,0,0,13,16,0,10,18,5,1,NA,NA,98,,,,,,,
1885,0,0,3,3,12,3,34,9,0,1,0,18,9,4,17,11,2,0,NA,NA,126,,,,,,,
1886,0,0,2,2,10,0,20,9,0,1,0,20,8,5,18,13,4,2,NA,NA,114,,,,,,,
1887,0,0,0,1,12,6,14,1,4,0,1,14,9,3,14,17,0,1,NA,NA,97,,,,,,,
1888,0,0,3,3,6,0,18,12,0,0,0,4,7,1,10,11,1,0,NA,NA,76,,,,,,,
1889,0,0,5,1,7,0,15,11,0,0,0,7,4,0,8,3,0,1,NA,NA,62,,,,,,,
1890,0,0,0,4,8,1,8,5,1,1,0,6,2,4,8,10,1,2,NA,NA,61,,,,,,,
1891,0,0,0,3,17,3,13,6,1,0,0,7,2,0,9,11,2,3,NA,NA,77,,,,,,,
1892,0,0,0,3,8,0,10,4,0,0,0,7,8,1,7,11,0,4,NA,NA,63,,,,,,,
1893,0,0,1,5,15,0,11,1,0,0,0,6,9,0,6,10,2,6,NA,NA,72,,,,,,,
1894,0,0,0,11,6,0,9,3,2,0,0,8,4,0,8,3,1,2,NA,NA,57,,,,,,,
1895,0,0,0,7,3,0,7,3,0,0,0,4,5,3,5,5,0,2,NA,NA,44,,,,,,,
1896,0,0,0,4,4,0,3,2,1,0,1,0,7,1,2,12,2,5,NA,NA,44,,,,,,,
1897,0,0,0,9,1,1,7,1,0,0,0,4,5,0,2,3,6,0,NA,NA,39,,,,,,,
1898,0,0,0,8,8,1,7,4,0,0,0,2,4,0,3,4,6,4,NA,NA,51,,,,,,,
1899,0,0,4,7,3,1,3,1,0,0,0,1,3,0,6,7,0,1,NA,NA,37,,,,,,,
1900,0,0,0,2,2,0,4,1,1,0,0,3,4,0,2,2,2,0,NA,NA,23,,,,,,,
1901,0,0,0,5,3,0,3,1,0,0,0,1,4,0,3,5,2,2,NA,NA,29,,,,,,,
1902,0,0,0,2,7,2,6,6,3,0,0,2,9,0,5,14,1,0,NA,NA,57,,,,,,,
1903,0,0,0,5,5,1,10,0,1,0,0,1,7,0,3,8,4,5,NA,NA,50,,,,,,,
1904,0,1,0,7,1,0,16,8,0,0,0,0,5,0,1,5,1,0,NA,NA,45,,,,,,,
1905,0,0,0,1,1,1,3,2,0,0,1,0,5,0,3,2,4,0,NA,NA,23,,,,,,,
1906,0,0,0,6,5,0,0,1,0,0,0,0,2,0,0,4,0,1,NA,NA,19,,,,,,,
1907,0,0,0,1,5,1,2,2,0,0,0,0,4,0,1,2,1,0,NA,NA,19,,,,,,,
1908,0,0,0,2,2,3,7,1,2,2,0,1,1,0,0,6,4,3,NA,NA,34,,,,,,,
1909,0,0,1,1,1,2,6,1,0,0,0,1,1,0,1,2,3,4,NA,NA,24,,,,,,,
1910,0,0,0,2,1,3,7,0,3,0,0,1,2,0,0,5,1,1,NA,NA,26,,,,,,,
1911,0,0,0,1,6,0,2,1,0,0,0,0,4,0,0,2,0,0,NA,NA,16,,,,,,,
1912,0,0,0,2,8,0,7,2,0,0,0,1,1,2,0,4,0,0,NA,NA,27,,,,,,,
1913,0,0,0,1,0,0,1,1,0,0,0,2,2,0,0,1,0,0,NA,NA,8,,,,,,,
1914,0,0,0,0,0,2,0,1,0,0,0,2,3,0,0,0,0,2,NA,NA,10,,,,,,,
1915,0,0,0,0,0,3,6,1,0,0,0,1,3,0,0,1,0,0,NA,NA,15,,,,,,,
1916,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,2,NA,NA,8,,,,,,,
1917,0,0,0,1,2,1,2,0,0,0,0,1,1,0,0,0,0,2,NA,NA,10,,,,,,,
1918,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,NA,NA,3,,,,,,,
1919,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,NA,NA,3,,,,,,,
1920,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,NA,NA,6,,,,,,,
1921,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,2,,,,,,,
1922,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,,,,,,,
1923,0,0,0,1,1,0,3,0,0,0,0,0,1,0,1,0,0,0,NA,NA,7,,,,,,,
1924,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,NA,NA,4,,,,,,,
1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,,,,,,,
1926,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,4,,,,,,,
1927,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,5,,,,,,,
1928,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,NA,NA,3,,,,,,,
1929,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,NA,3,,,,,,,
1930,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,3,,,,,,,
1931,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,NA,NA,4,,,,,,,
1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,,,,,,,
1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,2,,,,,,,
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1,,,,,,,
1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1938,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,2,,,,,,,
1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1943,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,2,,,,,,,
1944,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,,,,,,,
1945,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,4,,,,,,,
1946,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,NA,NA,4,,,,,,,
1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1949,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,4,,,,,,,
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1,,,,,,,
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1,,,,,,,
1952,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,,,,,,,
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,NA,NA,3,,,,,,,
1954,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,2,,,,,,,
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,,,,,,,
1956,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,NA,NA,4,,,,,,,
1957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,3,,,,,,,
1958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,NA,3,,,,,,,
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,NA,NA,3,,,,,,,
1960,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,2,,,,,,,
1961,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,,,,,,,
1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,2,,,,,,,
1963,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,,,,,,,
1964,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,2,,,,,,,
1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,,,,,,,
1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,2,,,,,,,
1967,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,1,,,,,,,
1968,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,3,,,,,,,
1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
