YEAR,ØST,AKER,HED,OPPL,BUSK,VEST,TELM,AU_AG,VE_AG,ROGL,HORD,SOGN,MØRE,SØRT,NORT,NORD,TROM,FINN,OSLO,Unknown_hunting_county,Total,Agder,Innlandet,Troms_og_Finnmark,Trøndelag,Vestfold_og_Telemark,Vestland,Viken
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,2,,,,,,,
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,2,,,,,,,
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,2,,,,,,,
1973,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,3,,,,,,,
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,,,,,,,
1976,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,,,,,,,
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,
1978,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,,,,,,,
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,,,,,,
1980,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,3,,,,,,,
1980-81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,3,,,,,,,
1981-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,1,,,,,,,
1982-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,2,,,,,,,
1983-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,1,,,,,,,
1984-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,1,,,,,,,
1985-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,NA,3,,,,,,,
1986-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,1,,,,,,,
1987-88,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,,,,,,,
1988-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1989-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,
1990-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1991-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,,,,,,,
1992-93,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,
1993-94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,,,,,,,
1994-95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
1995-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,
1996-97,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,,,,,,,
1997-98,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,,
1998-99,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5,,,,,,,
1999-2000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,5,,,,,,,
2000-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,6,,,,,,,
2001-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,,,,,,,
2002-03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
2003-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,,,,,,,
2004-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,
2005-06,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,6,,,,,,,
2006-07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,4,,,,,,,
2007-08,0,0,4,1,0,0,0,0,0,0,0,0,0,1,3,0,0,4,0,0,13,,,,,,,
2008-09,0,0,7,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,12,,,,,,,
2009-10,0,0,6,1,0,0,0,0,0,0,0,0,0,2,3,0,1,5,0,0,18,,,,,,,
2010-11,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,10,,,,,,,
2011-12,0,0,5,2,0,0,1,0,0,0,0,0,0,0,4,0,1,3,0,0,16,,,,,,,
2012-13,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0,0,13,,,,,,,
2013-14,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,,,,,,,
2014-15,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,4,0,2,0,0,12,,,,,,,
2015-16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,10,,,,,,,
2016-17,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,8,,,,,,,
2017-18,0,0,2,1,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,9,,,,,,,
2018-19,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,12,,,,10,,,
2019-20,0,0,5,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,3,0,0,15,,,,6,,,
2020-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,10,0,7,1,2,0,0,0
