art,knr2017,xftot,kommune2017,fylkesnr,aar,region,bestv,NT,kalvprs,okseprs,kuprs,okseavad,sum,kalvprku,svekt_o,svekt_ku,svekt_ka,oksevekt,kuvekt,kalvvekt,moksev,mkuv,mkalvv,skalvvekt,vkalvvekt,mskalvv,mvkalvv,LANDKAT,ALTREG,reg,kommune,bestandsvekst,vinterbest,snittbest,lnfelt,lnvbest,hrate,Høstingsrate,Tilvekstrate,antkg,antmkg,utmar,TOTBAR
elg,124,0,Askim,1,1949,1,-0.104986544,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,190,175,70,342,332.5,112,79.52791187,77.86525985,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Askim,-0.099653562,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,39.16,#NULL!
elg,125,4.333333333,Eidsberg,1,1949,1,-0.104986544,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,190,175,70,342,332.5,112,79.52791187,77.86525985,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Eidsberg,-0.099653562,9.900649322,11.34509377,1.466337069,2.292600343,0.437681731,0.437681731,0.338028169,3077.390719,745.8342613,151.91,4.909711417
elg,127,2.5,Skiptvet,1,1949,1,-0.104986544,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,190,175,70,342,332.5,112,79.52791187,77.86525985,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Skiptvet,-0.099653562,5.71191307,6.545246404,0.916290732,1.742554006,0.437681731,0.437681731,0.338028169,1775.417723,430.2889969,56.69,7.590209859
elg,128,24.66666667,Rakkestad,1,1949,1,-0.104986544,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,190,175,70,342,332.5,112,79.52791187,77.86525985,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Rakkestad,-0.099653562,56.35754229,64.57976452,3.205452805,4.031716079,0.437681731,0.437681731,0.338028169,17517.45486,4245.518103,306.31,13.86020079
elg,135,2,Råde,1,1949,1,-0.104986544,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,190,175,70,342,332.5,112,79.52791187,77.86525985,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Råde,-0.099653562,4.569530456,5.236197123,0.693147181,1.519410455,0.437681731,0.437681731,0.338028169,1420.334178,344.2311975,69.64,4.943009729
elg,136,0,Rygge,1,1949,1,-0.104986544,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,190,175,70,342,332.5,112,79.52791187,77.86525985,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Rygge,-0.099653562,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,42.12,#NULL!
elg,137,10,Våler,1,1949,1,-0.104986544,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,190,175,70,342,332.5,112,79.52791187,77.86525985,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Våler,-0.099653562,22.84765228,26.18098561,2.302585093,3.128848367,0.437681731,0.437681731,0.338028169,7101.670891,1721.155988,203.09,8.474843605
elg,138,3,Hobøl,1,1949,1,-0.104986544,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,190,175,70,342,332.5,112,79.52791187,77.86525985,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Hobøl,-0.099653562,6.854295684,7.854295684,1.098612289,1.924875563,0.437681731,0.437681731,0.338028169,2130.501267,516.3467963,109.54,4.71377393
elg,211,1,Vestby,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Vestby,-0.181252269,1.925741713,2.259075046,0,0.655311199,0.519280438,0.519280438,0.338028169,592.0900152,144.8739668,94.87,1.527078811
elg,213,1,Ski,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Ski,-0.181252269,1.925741713,2.259075046,0,0.655311199,0.519280438,0.519280438,0.338028169,592.0900152,144.8739668,127.46,1.136622994
