YEAR,ØST,AKER,HED,OPPL,BUSK,VEST,TELM,AU_AG,VE_AG,ROGL,HORD,SOGN,MØRE,SØRT,NORT,NORD,TROM,FINN,OSLO,Unknown_hunting_county,Total,Agder,Innlandet,Troms_og_Finnmark,Trøndelag,Vestfold_og_Telemark,Vestland,Viken
1846,11,0,17,23,10,0,9,16,5,8,0,0,11,30,22,30,46,NA,NA,NA,238,,,,,,,
1847,10,0,32,42,9,0,14,16,15,6,0,9,17,18,20,20,31,NA,NA,NA,259,,,,,,,
1848,6,0,30,26,17,0,22,11,14,2,0,12,9,36,31,17,14,NA,NA,NA,247,,,,,,,
1849,8,7,18,15,13,0,18,9,12,0,0,12,6,21,21,14,23,NA,NA,NA,197,,,,,,,
1850,10,2,11,25,10,0,30,18,2,9,0,13,4,21,14,11,11,NA,NA,NA,191,,,,,,,
1851,0,3,9,72,18,1,21,29,10,15,0,5,26,31,4,12,25,NA,NA,NA,281,,,,,,,
1852,3,1,24,33,8,0,29,8,6,15,1,12,13,39,15,4,25,NA,NA,NA,236,,,,,,,
1853,3,2,15,25,11,0,14,24,14,9,0,5,22,7,23,3,14,NA,NA,NA,191,,,,,,,
1854,0,1,4,39,7,0,15,24,19,11,0,7,7,3,12,9,11,NA,NA,NA,169,,,,,,,
1855,4,0,15,35,0,1,29,21,20,37,0,14,3,6,13,12,25,NA,NA,NA,235,,,,,,,
1856,12,1,21,27,1,1,20,29,10,16,1,8,5,25,11,6,16,NA,NA,NA,210,,,,,,,
1857,3,3,17,23,10,0,22,19,7,14,1,15,2,13,8,7,32,NA,NA,NA,196,,,,,,,
1858,8,0,21,31,4,0,15,26,17,20,0,13,1,23,19,0,31,NA,NA,NA,229,,,,,,,
1859,6,2,24,7,9,0,20,31,2,2,0,10,0,9,16,2,19,NA,NA,NA,159,,,,,,,
1860,8,1,70,31,12,0,19,15,4,2,0,14,2,24,15,4,39,NA,NA,NA,260,,,,,,,
1861,0,0,17,12,1,0,16,1,1,0,1,13,3,3,15,1,25,NA,NA,NA,109,,,,,,,
1862,0,0,17,28,0,0,5,2,0,1,0,12,1,2,7,3,28,NA,NA,NA,106,,,,,,,
1863,0,0,65,82,5,0,1,3,25,0,1,1,4,2,12,2,5,NA,NA,NA,208,,,,,,,
