YEAR,ØST,AKER,HED,OPPL,BUSK,VEST,TELM,AU_AG,VE_AG,ROGL,HORD,SOGN,MØRE,SØRT,NORT,NORD,TROM,FINN,OSLO,Unknown_hunting_county,Total,Agder,Innlandet,Troms_og_Finnmark,Trøndelag,Vestfold_og_Telemark,Vestland,Viken
1864,0,0,10,13,2,0,0,0,0,0,1,10,1,1,6,0,55,NA,NA,NA,99,,,,,,,
1865,0,0,20,0,0,0,0,0,1,0,1,3,1,0,1,2,31,NA,NA,NA,60,,,,,,,
1866,1,0,6,4,1,0,1,1,0,0,1,3,1,3,4,1,6,25,NA,NA,58,,,,,,,
1867,0,0,6,0,0,0,0,0,0,0,1,3,1,2,3,1,10,16,NA,NA,43,,,,,,,
1868,0,0,6,0,0,0,0,0,0,0,0,3,0,2,3,1,5,9,NA,NA,29,,,,,,,
1869,0,0,6,0,0,0,0,0,0,0,0,3,0,2,3,1,1,18,NA,NA,34,,,,,,,
1870,0,0,5,0,0,0,0,0,0,0,0,2,0,2,3,1,2,23,NA,NA,38,,,,,,,
1871,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,6,23,NA,NA,36,,,,,,,
1872,0,0,1,2,0,0,2,0,0,0,0,0,0,0,3,0,1,27,NA,NA,36,,,,,,,
1873,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,7,1,26,NA,NA,49,,,,,,,
1874,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,NA,NA,29,,,,,,,
1875,0,0,3,5,0,0,0,0,0,0,0,0,0,1,3,3,6,51,NA,NA,72,,,,,,,
1876,0,0,3,7,0,0,0,0,0,0,0,0,0,12,1,1,4,40,NA,NA,68,,,,,,,
1877,0,0,3,1,0,0,0,0,0,0,0,0,0,9,0,1,2,34,NA,NA,50,,,,,,,
1878,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,27,NA,NA,31,,,,,,,
1879,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,48,NA,NA,61,,,,,,,
1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,NA,NA,29,,,,,,,
1881,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,NA,NA,20,,,,,,,
1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,NA,NA,26,,,,,,,
1883,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,1,17,NA,NA,33,,,,,,,
1884,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,59,NA,NA,64,,,,,,,
1885,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,NA,NA,18,,,,,,,
1886,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,1,27,NA,NA,37,,,,,,,
1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,NA,NA,15,,,,,,,
1888,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,28,NA,NA,35,,,,,,,
1889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,4,NA,NA,11,,,,,,,
1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,18,NA,NA,30,,,,,,,
1891,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,39,NA,NA,53,,,,,,,
1892,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,65,NA,NA,72,,,,,,,
1893,0,0,0,2,0,0,0,0,0,0,0,0,3,3,5,0,2,35,NA,NA,50,,,,,,,
1894,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,1,0,16,NA,NA,37,,,,,,,
1895,0,0,1,0,0,0,0,0,0,0,0,0,0,8,5,0,5,42,NA,NA,61,,,,,,,
1896,0,0,1,1,0,0,0,0,0,0,0,0,0,14,5,0,6,63,NA,NA,90,,,,,,,
1897,0,0,3,0,0,0,0,0,0,0,0,0,0,5,15,2,10,77,NA,NA,112,,,,,,,
1898,0,0,2,1,0,0,0,0,0,0,0,0,0,14,5,4,1,30,NA,NA,57,,,,,,,
1899,0,0,1,0,0,0,0,1,0,0,0,0,0,23,3,0,0,25,NA,NA,53,,,,,,,
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2,0,41,NA,NA,55,,,,,,,
1901,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,3,25,NA,NA,34,,,,,,,
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,32,NA,NA,36,,,,,,,
1903,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,31,NA,NA,50,,,,,,,
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,NA,NA,49,,,,,,,
1905,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,7,33,NA,NA,43,,,,,,,
1906,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,20,NA,NA,23,,,,,,,
1907,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,14,28,NA,NA,46,,,,,,,
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,21,NA,NA,26,,,,,,,
1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46,NA,NA,47,,,,,,,
1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,NA,NA,35,,,,,,,
1911,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,38,NA,NA,45,,,,,,,
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,27,NA,NA,31,,,,,,,
1913,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,1,26,NA,NA,35,,,,,,,
1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,26,NA,NA,35,,,,,,,
1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,1,41,NA,NA,56,,,,,,,
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,28,NA,NA,38,,,,,,,
1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,31,NA,NA,36,,,,,,,
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,10,NA,NA,14,,,,,,,
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,26,NA,NA,46,,,,,,,
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,20,NA,NA,26,,,,,,,
1921,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,14,NA,NA,17,,,,,,,
1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,NA,NA,7,,,,,,,
1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,NA,NA,19,,,,,,,
1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,NA,NA,11,,,,,,,
1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,NA,9,,,,,,,
1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,NA,NA,10,,,,,,,
1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,NA,NA,5,,,,,,,
1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,3,,,,,,,
1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,NA,4,,,,,,,
1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,,,,,,,
1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,NA,9,,,,,,,
1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,NA,10,,,,,,,
1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,NA,7,,,,,,,
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,NA,NA,8,,,,,,,
1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,NA,NA,7,,,,,,,
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,NA,NA,7,,,,,,,
1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA,6,,,,,,,
1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,6,NA,NA,18,,,,,,,
1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,NA,NA,11,,,,,,,
1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA,6,,,,,,,
1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,NA,NA,8,,,,,,,
1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,NA,NA,7,,,,,,,
1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,NA,NA,6,,,,,,,
1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,,,,,,,
1946,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,NA,NA,8,,,,,,,
1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,NA,NA,10,,,,,,,
1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,NA,NA,13,,,,,,,
1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,NA,NA,18,,,,,,,
1950,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,NA,NA,9,,,,,,,
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA,6,,,,,,,
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,2,,,,,,,
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,NA,NA,4,,,,,,,
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,2,,,,,,,
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,2,,,,,,,
1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,2,,,,,,,
1964,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,,,,,,,
1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,1,,,,,,,
1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,,,,,,,
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,,,,,,,
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,,,,,,
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,,,,,,
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,,,,,,
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,,,,,,,
1980-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,,,,,,
1981-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,,,,,,,
1982-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,,,,,,
1983-84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,1,,,,,,,
1984-85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,,,,,,,
1985-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,,,,,,
1986-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,,,,,,
1987-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,
1988-89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
1989-90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
1990-91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
1991-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1992-93,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,,
1993-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1994-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1995-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1996-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1997-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1998-99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
1999-2000,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,
2000-01,1,1,12,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,
2001-02,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,
2002-03,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,,,,,,,
2003-04,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,
2004-05,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,
2005-06,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,,,,,,,
2006-07,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,
2007-08,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,
2008-09,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,
2009-10,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,,,,,,,
2010-11,0,0,8,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,,,,,,,
2011-12,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,,,,,
2012-13,0,0,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,
2013-14,0,0,9,3,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,17,,,,,,,
2014-15,0,0,7,3,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,14,,,,,,,
2015-16,0,2,4,3,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,14,,,,,,,
2016-17,0,0,13,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,18,,,,,,,
2017-18,0,0,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,,,,,,,
2018-19,2,2,15,2,2,0,0,0,0,0,0,0,0,NA,NA,0,0,2,0,0,26,,,,1,,,
2019-20,0,0,16,1,1,0,0,0,1,0,0,0,0,NA,NA,0,0,0,0,0,20,,,,1,,,
2020-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,0,33,0,25,0,0,0,1,6
